"","Log2FC_estimate","SE","pval","CI_lb","CI_ub","Number_Of_Comparisons","Number_of_ Contrasts","Number_of_Coefficients","tau2_ResidualHeterogeneity","SE_tau2_ResidualHeterogeneity","QE_CochransQ_Teststat","QEp_CochransQ_pval","I2_PercentVar_TrueHeterogeneity","H2_Ratio_EffectHetero_overSamplVar","PubBias_Egger_Zstat","PubBias_Egger_pval","PubBias_Egger_DF","Leave1Out_Min_Log2FC","Leave1Out_Max_Log2FC","Leave1Out_Min_Pval","Leave1Out_Max_Pval","FDR","QEp_FDR","Egger_FDR","DB.Class.Key","Mouse_Common.Organism.Name","Mouse_NCBI.Taxon.ID","Mouse_Symbol","Mouse_EntrezGene.ID","Mouse_Mouse.MGI.ID","Mouse_HGNC.ID","Mouse_OMIM.Gene.ID","Mouse_Genetic.Location","Mouse_Genome.Coordinates..mouse..GRCm39.human..GRCh38.","Mouse_Name","Mouse_Synonyms","Mouse_ENSEMBLGene.ID","Ensembl_Entrez","Rat_Common.Organism.Name","Rat_NCBI.Taxon.ID","Rat_Symbol","Rat_EntrezGene.ID","Rat_Mouse.MGI.ID","Rat_HGNC.ID","Rat_OMIM.Gene.ID","Rat_Genetic.Location","Rat_Genome.Coordinates..mouse..GRCm39.human..GRCh38.","Rat_Name","Rat_Synonyms","Rat_Ensembl","Rat_DBSymbol","Rat_DBName","MouseRat_GeneSymbol"
"Ripply2_Ripply2",-0.432941751714195,0.0703261025087848,7.45097833352905e-10,-0.570778379804486,-0.295105123623905,9,10,1,0.000270904392101923,0.0186794807540281,8.74345300133707,0.461284930032815,0.498046848893822,1.00500539771453,-1.14739056733532,0.251220237904937,NA,-0.488227177873895,-0.395437219841623,6.8825570070459e-11,5.220343409389e-06,1.05200363091097e-05,1,0.96683109672474,"51439804","mouse, laboratory","10090","Ripply2","382089","MGI:2685968","","","Chr9  cM","Chr9:86897590-86901970(+)","ripply transcriptional repressor 2","C030002E08Rik|LOC382089","ENSMUSG00000047897","ENSMUSG00000047897_382089","rat","10116","Ripply2","363111","","","","Chr8 q31","","ripply transcriptional repressor 2","RGD1308746","ENSRNOG00000010004","Ripply2","ripply transcriptional repressor 2","Ripply2_Ripply2"
"Dnajb3_Dnajb3",-0.461537668590153,0.110487139190737,2.94992872948349e-05,-0.67808848215886,-0.244986855021445,9,10,1,1.03991870567538e-07,0.0507723055744471,8.833124479554,0.452818848124383,8.01546721902664e-05,1.00000080154736,0.22241916323932,0.823987595298381,NA,-0.546586438543045,-0.417130759565517,1.09244390627686e-05,0.00117895739431123,0.0245000257244573,1,1,"51437057","mouse, laboratory","10090","Dnajb3","15504","MGI:1306822","","","Chr1  cM","Chr1:88132454-88133470(-)","DnaJ heat shock protein family (Hsp40) member B3","Hsj3|Msj1|MSJ-1","ENSMUSG00000081984","ENSMUSG00000081984_15504","rat","10116","Dnajb3","680216","","","","Chr9 q35","","DnaJ heat shock protein family (Hsp40) member B3","","ENSRNOG00000023172","Dnajb3","DnaJ heat shock protein family (Hsp40) member B3","Dnajb3_Dnajb3"
"Rnf225_Rnf225",-0.554990563643651,0.159916863612879,0.000519501369024832,-0.868421856845497,-0.241559270441805,9,10,1,0.107274626937178,0.113883187825829,15.5116250645858,0.0778075069677246,46.9796223011326,1.88606728846702,-3.32982535018808,0.00086900473276972,NA,-0.644873456438858,-0.464230710314086,0.000170888842147045,0.00192882850624075,0.126701241456914,0.791472759998057,0.117975748288228,"51437962","mouse, laboratory","10090","Rnf225","381845","MGI:1924198","","","Chr7  cM","Chr7:12661343-12664999(+)","ring finger protein 225","2310014L17Rik","ENSMUSG00000033967","ENSMUSG00000033967_381845","rat","10116","Rnf225","502300","","","","Chr1 q21","","ring finger protein 225","RGD1561909","ENSRNOG00000038445","Rnf225","ring finger protein 225","Rnf225_Rnf225"
"Gm5617_C8h11orf71",-0.353761635893821,0.0637733448681432,2.90329113373962e-08,-0.478755095009033,-0.228768176778608,9,10,1,5.06875839904199e-06,0.0156650980140884,9.41142008986364,0.400195048235004,0.0114379957604133,1.00011439304188,-1.00473205294285,0.315025889571739,NA,-0.389772502549246,-0.326610234014793,2.70960734233942e-08,4.12186906184793e-06,0.000204957837586349,1,0.983659155109681,"51441072","mouse, laboratory","10090","Gm5617","434402","MGI:3643566","","","Chr9  cM","Chr9:48406742-48407272(+)","predicted gene 5617","","ENSMUSG00000042293","ENSMUSG00000042293_434402","rat","10116","C8h11orf71","500993","","","","Chr8 q23","","similar to human chromosome 11 open reading frame 71","RGD1563941","ENSRNOG00000005918","C8h11orf71","similar to human chromosome 11 open reading frame 71","Gm5617_C8h11orf71"
"Pnma5_Pnma5",-0.743347003119716,0.268114679667809,0.00556281226290649,-1.26884211899512,-0.217851887244316,9,10,1,0.395427024591772,0.327392409963679,23.1818746645829,0.00580051916400729,66.3694076194046,2.97348315689197,-2.88953446278401,0.00385812714764428,NA,-0.880826232317396,-0.540773040518813,0.00249376135031653,0.0222451204902358,0.297517087436666,0.188703986351657,0.285198414647066,"51444057","mouse, laboratory","10090","Pnma5","385377","MGI:2180566","","","ChrX  cM","ChrX:72077587-72080709(-)","paraneoplastic antigen family 5","","ENSMUSG00000050424","ENSMUSG00000050424_385377","rat","10116","Pnma5","309266","","","","ChrX","","PNMA family member 5","RGD1565857","ENSRNOG00000058423","Pnma5","PNMA family member 5","Pnma5_Pnma5"
"1700037C18Rik_C10h16orf90",-0.509720253345367,0.151983162619436,0.000797116172632835,-0.807601778335956,-0.211838728354777,9,10,1,0.140246400882107,0.106413729303072,25.653891383092,0.00232692235125315,65.4029860119434,2.89042285656564,-0.331490582536945,0.740273953314145,NA,-0.604788308207722,-0.440534862697984,4.69233466366194e-06,0.00475308362788553,0.139138942104565,0.0977792163016168,1,"51441092","mouse, laboratory","10090","1700037C18Rik","73261","MGI:1920511","","","Chr16  cM","Chr16:3723662-3726553(-)","RIKEN cDNA 1700037C18 gene","2810022L20Rik","ENSMUSG00000005983","ENSMUSG00000005983_73261","rat","10116","C10h16orf90","360483","","","","Chr10 q12","","similar to human chromosome 16 open reading frame 90","RGD1561796","ENSRNOG00000007268","C10h16orf90","similar to human chromosome 16 open reading frame 90","1700037C18Rik_C10h16orf90"
"Fkbp11_NA",-0.368854589470695,0.0833892502186396,9.72104513056503e-06,-0.532294516597027,-0.205414662344362,9,10,1,1.37042375704405e-06,0.0240770888305518,17.0045218859832,0.0486452109508734,0.00165783190485524,1.00001657859389,-0.0780656630682873,0.937775820712273,NA,-0.399592769718786,-0.306793225037183,2.45468345430644e-06,0.0532911768273866,0.0152501595776053,0.648694610520534,1,"51435718","mouse, laboratory","10090","Fkbp11","66120","MGI:1913370","","","Chr15  cM","Chr15:98622249-98626079(-)","FK506 binding protein 11","1110002O23Rik","ENSMUSG00000003355","ENSMUSG00000003355_66120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fkbp11_NA"
"Foxl2_Foxl2",-0.482885947005685,0.147113014464254,0.00102922055396451,-0.771222157012742,-0.194549736998628,8,9,1,0,0.0845940453878507,2.38807306739127,0.966746013207324,0,1,-0.660046567773676,0.509223945975924,NA,-0.617036757815401,-0.431809893030702,0.00104849051206582,0.00531181154116117,0.151370468764843,1,1,"51430260","mouse, laboratory","10090","Foxl2","26927","MGI:1349428","","","Chr9  cM","Chr9:98837495-98840601(+)","forkhead box L2","Pfrk","ENSMUSG00000050397","ENSMUSG00000050397_26927","rat","10116","Foxl2","367152","","","","Chr8 q31","","forkhead box L2","","ENSRNOG00000072374","Foxl2","forkhead box L2","Foxl2_Foxl2"
"Fam246a_LOC120095536",-0.319501233139659,0.0641529850959449,6.34851606543243e-07,-0.445238773428446,-0.193763692850872,8,9,1,0.000753230337913801,0.0151414804428534,8.24407791153221,0.409998478833408,1.86372964828808,1.01899124188854,2.13553780757116,0.0327171053561528,NA,-0.342761263382619,-0.252719801117277,1.62478749107775e-07,0.000523916026998129,0.00298782327759468,1,0.641573347949335,"51441898","mouse, laboratory","10090","Fam246a","433004","MGI:3045365","","","Chr16  cM","Chr16:17650985-17652872(+)","family with sequence similarity 246 member A","B830017H08Rik|G3R1","ENSMUSG00000116652","ENSMUSG00000116652_433004","rat","10116","LOC120095536","120095536","","","","Chr11","","protein FAM246A-like","","ENSRNOG00000070676","LOC120095536","protein FAM246A-like","Fam246a_LOC120095536"
"Brs3_Brs3",-0.41457870348227,0.11586766566757,0.000346185498265094,-0.641675155163434,-0.187482251801105,9,10,1,1.82641991302724e-06,0.0564221912520815,6.79239049094348,0.658724408690137,0.00128263326118289,1.00001282649713,-1.64733324305185,0.0994895685666238,NA,-0.504641494913702,-0.380840624980785,0.00019489150184782,0.00200213346880049,0.101829021875101,1,0.833865161458894,"51441056","mouse, laboratory","10090","Brs3","12209","MGI:1100501","","","ChrX  cM","ChrX:56088434-56094118(+)","bombesin-like receptor 3","BRS-3","ENSMUSG00000031130","ENSMUSG00000031130_12209","rat","10116","Brs3","260319","","","","ChrX q36","","bombesin receptor subtype 3","","ENSRNOG00000000873","Brs3","bombesin receptor subtype 3","Brs3_Brs3"
